"id","churnBinario","churnSimples","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
263,1,1.0,1.0,1.0,1.0,1.0
264,1,1.0,1.0,1.0,1.0,1.0
265,1,0.9705882353,0.9932773109,0.9999999995,1.0,0.967741935483871
266,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
267,1,1.0,1.0,1.0,1.0,1.0
268,1,0.9705882353,0.9899159664,0.9999999981,1.0,0.9655172413793104
269,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
270,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
271,1,1.0,1.0,1.0,1.0,1.0
272,1,0.9411764706,0.9781512605,0.9999999944,1.0,0.9310344827586207
273,1,0.9705882353,0.9899159664,0.9999999981,1.0,0.9655172413793104
274,1,1.0,1.0,1.0,1.0,1.0
275,1,1.0,1.0,1.0,1.0,1.0
276,1,0.9411764706,0.974789916,0.9999995231,0.9999999987,0.9411764705882353
277,1,0.9705882353,0.9478991597,0.9375,0.9685285705,0.75
278,1,1.0,1.0,1.0,1.0,1.0
279,1,0.9411764706,0.9714285714,0.9999980926,0.9999999904,0.9411764705882353
280,1,0.9411764706,0.981512605,0.999999985,1.0,0.9393939393939394
281,1,1.0,1.0,1.0,1.0,1.0
282,1,1.0,1.0,1.0,1.0,1.0
283,1,1.0,1.0,1.0,1.0,1.0
284,1,1.0,1.0,1.0,1.0,1.0
285,1,1.0,1.0,1.0,1.0,1.0
286,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
287,1,1.0,1.0,1.0,1.0,1.0
288,1,0.9705882353,0.9848739496,0.9999999851,1.0,0.9615384615384616
289,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
290,1,1.0,1.0,1.0,1.0,1.0
291,1,1.0,1.0,1.0,1.0,1.0
292,1,0.9117647059,0.9092436975,0.9960930347,0.9994235789,0.8636363636363636
293,1,0.9705882353,0.9462184874,0.875,0.9144517851,0.6666666666666667
294,1,0.9411764706,0.9579831933,0.9997558593,0.9999894425,0.9393939393939394
295,1,0.9117647059,0.8907563025,0.8749914169,0.9144517105,0.85
296,1,1.0,1.0,1.0,1.0,1.0
297,1,1.0,1.0,1.0,1.0,1.0
298,1,1.0,1.0,1.0,1.0,1.0
299,1,0.9705882353,0.9630252101,0.9998779297,0.9999961161,0.9230769230769231
300,1,0.6176470588,0.4756302521,0.7521171551,0.8648812655,0.5517241379310345
301,1,0.9117647059,0.9226890756,0.9997548983,0.999989439,0.8888888888888888
302,1,1.0,1.0,1.0,1.0,1.0
303,1,1.0,1.0,1.0,1.0,1.0
304,1,0.9411764706,0.9647058824,0.9999999106,0.9999999999,0.92
305,1,0.9705882353,0.9630252101,0.9998779297,0.9999961161,0.9230769230769231
306,1,1.0,1.0,1.0,1.0,1.0
307,1,0.9705882353,0.9932773109,0.9999999995,1.0,0.967741935483871
308,1,1.0,1.0,1.0,1.0,1.0
309,1,0.9705882353,0.9899159664,0.9999999981,1.0,0.9655172413793104
310,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
311,1,1.0,1.0,1.0,1.0,1.0
312,1,0.9705882353,0.956302521,0.998046875,0.9997879472,0.8888888888888888
313,1,0.5294117647,0.5327731092,0.1241039771,0.0497433175,0.5294117647058824
314,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
315,1,0.9411764706,0.9865546218,0.9999999988,1.0,0.9375
316,1,0.9117647059,0.9613445378,0.9999990425,0.9999999965,0.9117647058823529
317,1,0.8823529412,0.8268907563,0.9759521484,0.9941413529,0.6923076923076923
318,1,0.9411764706,0.9512605042,0.9960937499,0.9994235807,0.9393939393939394
319,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
320,1,1.0,1.0,1.0,1.0,1.0
321,1,1.0,1.0,1.0,1.0,1.0
322,1,0.9705882353,0.9781512605,0.9999997616,0.9999999995,0.9545454545454546
323,1,0.8235294118,0.7932773109,0.9057459822,0.9569219857,0.8
324,1,0.9705882353,0.9680672269,0.9999847412,0.9999998066,0.9375
325,1,1.0,1.0,1.0,1.0,1.0
326,1,1.0,1.0,1.0,1.0,1.0
327,1,1.0,1.0,1.0,1.0,1.0
328,1,0.6764705882,0.6487394958,0.6791504579,0.7343881118,0.6451612903225806
329,1,0.8823529412,0.8957983193,0.9531249998,0.9841631133,0.8823529411764706
330,1,1.0,1.0,1.0,1.0,1.0
331,1,1.0,1.0,1.0,1.0,1.0
332,1,1.0,1.0,1.0,1.0,1.0
333,1,1.0,1.0,1.0,1.0,1.0
334,1,1.0,1.0,1.0,1.0,1.0
335,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
336,1,1.0,1.0,1.0,1.0,1.0
337,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
338,1,1.0,1.0,1.0,1.0,1.0
339,1,0.8823529412,0.9075630252,0.9997405706,0.9999892491,0.875
340,1,1.0,1.0,1.0,1.0,1.0
341,1,0.9705882353,0.974789916,0.9999990463,0.9999999965,0.95
342,1,1.0,1.0,1.0,1.0,1.0
343,1,0.9117647059,0.9478991597,0.9998779222,0.9999961161,0.9117647058823529
344,1,0.6470588235,0.6571428571,0.8885466714,0.9524757334,0.6363636363636364
345,1,0.9705882353,0.9630252101,0.9998779297,0.9999961161,0.9230769230769231
346,1,1.0,1.0,1.0,1.0,1.0
347,1,1.0,1.0,1.0,1.0,1.0
348,1,0.9705882353,0.974789916,0.9999990463,0.9999999965,0.95
349,1,1.0,1.0,1.0,1.0,1.0
350,1,1.0,1.0,1.0,1.0,1.0
351,1,1.0,1.0,1.0,1.0,1.0
352,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
353,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
354,1,1.0,1.0,1.0,1.0,1.0
355,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
356,1,1.0,1.0,1.0,1.0,1.0
357,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
358,1,0.9411764706,0.9075630252,0.4999389648,0.3678780124,0.8571428571428572
359,1,1.0,1.0,1.0,1.0,1.0
360,1,0.9117647059,0.9092436975,0.9838867187,0.9957121069,0.9117647058823529
361,1,0.9705882353,0.9495798319,0.96875,0.9884223081,0.8
362,1,1.0,1.0,1.0,1.0,1.0
363,1,1.0,1.0,1.0,1.0,1.0
364,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
365,1,0.7352941176,0.6756302521,0.7797696143,0.8712957618,0.6538461538461539
366,1,1.0,1.0,1.0,1.0,1.0
367,1,1.0,1.0,1.0,1.0,1.0
368,1,0.9705882353,0.9663865546,0.9999694824,0.9999994744,0.9333333333333333
369,1,1.0,1.0,1.0,1.0,1.0
370,1,0.9117647059,0.9176470588,0.9980430584,0.999787921,0.896551724137931
371,1,0.9705882353,0.9579831933,0.9990234375,0.9999219901,0.9
372,1,0.9411764706,0.9848739496,0.9999999925,1.0,0.9411764705882353
373,1,0.7941176471,0.8756302521,0.9960927491,0.9994235771,0.78125
374,1,0.9117647059,0.8957983193,0.8710937498,0.9138753658,0.90625
375,1,0.9411764706,0.9478991597,0.999997139,0.9999999868,0.9
376,1,0.9705882353,0.9781512605,0.9999997616,0.9999999995,0.9545454545454546
377,1,1.0,1.0,1.0,1.0,1.0
378,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
379,1,0.9411764706,0.9915966387,0.9999999997,1.0,0.9393939393939394
380,1,1.0,1.0,1.0,1.0,1.0
381,1,0.9411764706,0.9596638655,0.9999994934,0.9999999987,0.92
382,1,1.0,1.0,1.0,1.0,1.0
383,1,1.0,1.0,1.0,1.0,1.0
384,1,1.0,1.0,1.0,1.0,1.0
385,1,0.9705882353,0.9781512605,0.9999997616,0.9999999995,0.9545454545454546
386,1,1.0,1.0,1.0,1.0,1.0
387,1,0.7647058824,0.7495798319,0.9526185803,0.9841342085,0.7142857142857143
388,1,1.0,1.0,1.0,1.0,1.0
389,1,0.8529411765,0.818487395,0.8671758175,0.9128848171,0.7727272727272727
390,1,1.0,1.0,1.0,1.0,1.0
391,1,1.0,1.0,1.0,1.0,1.0
392,1,1.0,1.0,1.0,1.0,1.0
393,1,1.0,1.0,1.0,1.0,1.0
394,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
395,1,1.0,1.0,1.0,1.0,1.0
396,1,0.8823529412,0.868907563,0.8749384284,0.914450355,0.8333333333333334
397,1,0.9705882353,0.9848739496,0.9999999851,1.0,0.9615384615384616
398,0,0.3235294118,0.2218487395,0.2502525756,0.2325547884,0.23333333333333328
399,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
400,1,0.7941176471,0.7983193277,0.8574208598,0.9099805339,0.7941176470588236
401,1,1.0,1.0,1.0,1.0,1.0
402,1,1.0,1.0,1.0,1.0,1.0
403,1,1.0,1.0,1.0,1.0,1.0
404,1,0.8235294118,0.8773109244,0.4999992805,0.3678794394,0.8235294117647058
405,1,1.0,1.0,1.0,1.0,1.0
406,1,0.9117647059,0.8739495798,0.8437497616,0.9028740928,0.8636363636363636
407,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
408,1,1.0,1.0,1.0,1.0,1.0
409,1,1.0,1.0,1.0,1.0,1.0
410,1,0.9705882353,0.9613445378,0.9997558594,0.9999894425,0.9166666666666666
411,1,0.5294117647,0.6907563025,0.9978171923,0.9997819136,0.5294117647058824
412,1,0.9411764706,0.9529411765,0.9960937499,0.9994235807,0.9411764705882353
413,1,1.0,1.0,1.0,1.0,1.0
414,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
415,1,1.0,1.0,1.0,1.0,1.0
416,1,1.0,1.0,1.0,1.0,1.0
417,1,0.9411764706,0.9680672269,0.9999923705,0.9999999289,0.9411764705882353
418,1,1.0,1.0,1.0,1.0,1.0
419,1,1.0,1.0,1.0,1.0,1.0
420,1,1.0,1.0,1.0,1.0,1.0
421,1,0.8823529412,0.9596638655,0.9999997601,0.9999999995,0.8787878787878788
422,1,0.9411764706,0.9781512605,0.99999997,1.0,0.9375
423,1,1.0,1.0,1.0,1.0,1.0
424,1,0.8235294118,0.8352941176,0.9970089197,0.9997085078,0.8235294117647058
425,1,1.0,1.0,1.0,1.0,1.0
426,1,1.0,1.0,1.0,1.0,1.0
427,1,1.0,1.0,1.0,1.0,1.0
428,1,1.0,1.0,1.0,1.0,1.0
429,1,0.9705882353,0.9764705882,0.9999995232,0.9999999987,0.9523809523809523
430,1,0.9411764706,0.9764705882,0.9999997615,0.9999999995,0.9411764705882353
431,1,0.8823529412,0.9294117647,0.9990234058,0.9999219901,0.8823529411764706
432,1,1.0,1.0,1.0,1.0,1.0
433,1,0.8235294118,0.8403361345,0.998717904,0.9999100032,0.8235294117647058
434,1,1.0,1.0,1.0,1.0,1.0
435,1,1.0,1.0,1.0,1.0,1.0
436,1,0.8823529412,0.9613445378,0.9999999363,0.9999999999,0.8787878787878788
437,1,1.0,1.0,1.0,1.0,1.0
438,1,1.0,1.0,1.0,1.0,1.0
439,1,1.0,1.0,1.0,1.0,1.0
440,1,1.0,1.0,1.0,1.0,1.0
441,1,0.7647058824,0.8201680672,0.9987620559,0.9999112296,0.7647058823529411
442,1,1.0,1.0,1.0,1.0,1.0
443,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
444,1,1.0,1.0,1.0,1.0,1.0
445,1,0.7941176471,0.7932773109,0.8671829253,0.9128848869,0.7307692307692308
446,1,0.8823529412,0.8924369748,0.996092312,0.9994235758,0.8518518518518519
447,1,1.0,1.0,1.0,1.0,1.0
448,1,1.0,1.0,1.0,1.0,1.0
449,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
450,1,0.9705882353,0.9798319328,0.9999998808,0.9999999998,0.9565217391304348
451,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
452,1,0.9705882353,0.9915966387,0.9999999991,1.0,0.9666666666666667
453,1,0.9411764706,0.981512605,0.9999999701,1.0,0.9411764705882353
454,1,0.9117647059,0.9361344538,0.9997557993,0.9999894424,0.9032258064516129
455,1,1.0,1.0,1.0,1.0,1.0
456,1,0.8235294118,0.868907563,0.9997404423,0.9999892489,0.7931034482758621
457,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
458,1,0.8529411765,0.8453781513,0.9371938704,0.9685165807,0.8484848484848485
459,1,1.0,1.0,1.0,1.0,1.0
460,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
461,1,0.9411764706,0.9546218487,0.9998779288,0.9999961161,0.9333333333333333
462,1,1.0,1.0,1.0,1.0,1.0
463,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
464,1,0.9117647059,0.8890756303,0.8748778105,0.9144479011,0.8695652173913043
465,1,0.9705882353,0.9882352941,0.9999999963,1.0,0.9642857142857143
466,1,0.9705882353,0.9932773109,0.9999999995,1.0,0.967741935483871
467,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
468,1,0.9117647059,0.9327731092,0.9999837857,0.9999998031,0.896551724137931
469,1,1.0,1.0,1.0,1.0,1.0
470,1,1.0,1.0,1.0,1.0,1.0
471,1,0.9705882353,0.9949579832,0.9999999998,1.0,0.96875
472,1,0.9411764706,0.9949579832,0.9999999998,1.0,0.9411764705882353
473,1,1.0,1.0,1.0,1.0,1.0
474,1,0.9411764706,0.9344537815,0.9687499851,0.9884223081,0.9230769230769231
475,1,1.0,1.0,1.0,1.0,1.0
476,1,1.0,1.0,1.0,1.0,1.0
477,1,1.0,1.0,1.0,1.0,1.0
478,1,1.0,1.0,1.0,1.0,1.0
479,1,1.0,1.0,1.0,1.0,1.0
480,1,1.0,1.0,1.0,1.0,1.0
481,1,1.0,1.0,1.0,1.0,1.0
482,1,1.0,1.0,1.0,1.0,1.0
483,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
484,1,0.9117647059,0.8941176471,0.8437499999,0.9028740932,0.9117647058823529
485,1,0.6764705882,0.7613445378,0.9218133208,0.9642679454,0.6764705882352942
486,1,1.0,1.0,1.0,1.0,1.0
487,1,1.0,1.0,1.0,1.0,1.0
488,1,0.9705882353,0.9529411765,0.9921875,0.9984331298,0.8571428571428572
489,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
490,1,0.9705882353,0.9613445378,0.9997558594,0.9999894425,0.9166666666666666
491,1,1.0,1.0,1.0,1.0,1.0
492,1,0.8235294118,0.8571428571,0.9999784753,0.9999997695,0.7777777777777778
493,1,1.0,1.0,1.0,1.0,1.0
494,1,1.0,1.0,1.0,1.0,1.0
495,1,0.9705882353,0.9983193277,0.9999999999,1.0,0.9705882352941176
496,1,0.9705882353,0.9647058824,0.9999389648,0.9999985712,0.9285714285714286
497,1,1.0,1.0,1.0,1.0,1.0
498,1,0.9705882353,0.9966386555,0.9999999999,1.0,0.9696969696969697
