,True 13,True 14,True 15,True 16
375,14.512,14.512,14.512,14.512
376,0.0,35.05,35.05,35.05
377,43.05,43.05,43.05,43.05
378,15.2,15.2,15.2,15.2
379,8.65,8.65,8.65,8.65
380,47.74,47.74,47.74,47.74
381,36.63,36.63,36.63,36.63
382,0.0,0.0,30.07,30.07
383,22.55666666666667,22.55666666666667,22.55666666666667,22.55666666666667
384,0.0,31.65,21.4,21.4
385,17.3,17.3,17.3,17.3
386,0.0,39.7,39.7,39.7
387,18.71,18.71,18.71,16.4125
388,16.67,16.67,16.67,16.67
389,40.95,40.95,40.95,40.95
390,40.88,40.88,40.88,40.88
391,18.65,18.65,18.65,18.65
392,36.02,36.02,36.02,36.02
393,38.74,38.74,38.74,38.74
394,16.76,16.76,16.76,16.76
395,10.0,10.0,10.0,10.0
396,32.075,32.075,32.075,32.075
397,32.31,32.31,32.31,32.31
398,44.45,44.45,44.45,44.45
399,12.03,12.03,12.03,12.03
400,11.09,11.09,11.09,11.09
401,29.36,29.36,29.36,29.36
402,18.8,18.8,18.8,18.8
403,24.68,24.68,24.68,24.68
404,33.57,33.57,33.57,33.57
405,23.38,23.38,23.38,23.38
406,12.86,12.86,12.86,12.86
407,45.6,45.6,45.6,45.6
408,22.88,22.88,22.88,22.88
409,22.0,29.76,29.76,29.76
410,0.0,0.0,32.0,32.0
411,43.81,43.81,43.81,43.81
412,16.45,16.45,16.45,16.45
413,11.4,11.4,11.4,11.4
414,36.68,36.68,36.68,36.68
415,23.15,23.15,23.15,22.68
416,27.7,27.7,27.7,27.7
417,25.275,25.275,20.66,20.66
418,17.3,17.3,17.3,17.3
419,20.765,20.765,20.765,20.765
420,11.04,8.649999999999999,8.649999999999999,8.649999999999999
421,14.76,14.76,14.76,14.76
422,14.61,14.61,14.61,14.61
423,22.53,22.53,22.53,22.53
424,20.840000000000003,20.840000000000003,20.840000000000003,20.840000000000003
425,10.75,10.75,10.75,10.75
426,29.585,29.585,29.585,29.585
427,38.41,38.41,38.41,38.41
428,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005
429,17.060000000000002,17.060000000000002,17.060000000000002,17.060000000000002
430,17.425,17.425,17.425,17.425
431,11.24,11.24,11.24,11.24
432,17.45,17.45,17.45,17.45
433,13.64,13.64,13.64,13.64
434,17.259999999999998,17.259999999999998,17.259999999999998,17.259999999999998
435,12.375,12.375,12.375,12.375
436,0.0,34.74,34.74,34.74
437,14.59,14.59,14.59,14.59
438,28.270000000000003,28.270000000000003,28.270000000000003,28.270000000000003
439,0.0,0.0,43.72,43.72
440,0.0,19.37,19.37,19.37
441,14.46,14.46,14.46,14.46
442,0.0,31.78,31.78,31.78
443,0.0,0.0,0.0,14.12
444,18.76,18.76,18.76,18.76
445,15.24,15.24,16.035,16.035
446,0.0,0.0,10.62,10.62
447,25.61,25.61,25.61,25.61
448,17.61,17.61,17.61,17.61
449,0.0,0.0,0.0,14.84
450,41.39,41.39,41.39,41.39
451,11.42,11.42,11.42,11.42
452,4.92,4.92,4.92,4.92
453,39.28,39.28,39.28,39.28
454,0.0,22.133333333333336,22.133333333333336,22.133333333333336
455,11.89,11.89,11.89,11.89
456,21.71,21.71,21.71,21.71
457,0.0,26.19,26.19,26.19
458,24.6,24.6,24.6,24.6
459,15.86,15.86,15.86,15.86
460,32.36,32.36,32.36,32.36
461,20.245,20.245,20.245,20.245
462,0.0,0.0,39.95,39.95
463,21.43,21.43,21.43,21.43
464,29.39,29.39,29.39,29.39
465,27.0,27.0,27.0,27.0
466,21.43,21.43,34.629999999999995,34.629999999999995
467,35.14,35.14,35.14,35.14
468,0.0,0.0,0.0,31.59
469,33.16,33.16,33.16,23.095
470,14.27,14.27,14.27,14.27
471,17.05,17.05,17.05,17.05
472,18.58,18.58,18.58,18.58
473,31.650000000000002,31.650000000000002,31.650000000000002,31.650000000000002
474,51.27,51.27,51.27,51.27
475,24.935000000000002,24.935000000000002,24.935000000000002,24.935000000000002
476,40.48,40.48,40.48,40.48
477,29.29,29.29,29.29,29.29
478,29.3,29.3,29.3,29.3
479,17.2375,17.2375,17.2375,17.2375
480,10.44,10.44,10.44,10.44
481,26.52,26.52,26.52,26.52
482,38.16,38.16,38.16,38.16
483,13.62,13.62,13.62,13.62
484,52.67,52.67,52.67,52.67
485,0.0,0.0,32.41,32.41
486,0.0,0.0,0.0,26.24
487,0.0,0.0,0.0,21.43
488,41.49,41.49,27.155,27.155
489,5.57,5.57,5.57,5.57
490,51.99,51.99,51.99,51.99
491,43.49,43.49,43.49,43.49
492,7.49,7.49,7.49,7.49
493,18.596666666666668,17.6675,17.6675,17.6675
494,0.0,0.0,9.61,9.61
495,23.33,23.33,23.33,23.33
496,0.0,51.01,51.01,51.01
497,22.62,22.62,22.62,22.62
498,0.0,0.0,0.0,28.24
499,18.195,18.195,18.195,18.195
500,5.86,5.973333333333334,5.973333333333334,5.973333333333334
501,5.24,5.24,5.24,5.24
502,27.36,27.36,27.36,27.36
503,36.94,36.94,36.94,36.94
504,12.29,12.29,12.29,12.29
505,14.32,16.325,16.325,16.325
506,42.86,42.86,42.86,42.86
507,15.87,15.87,23.805,23.805
508,20.43,20.43,20.43,20.43
509,30.285000000000004,30.285000000000004,30.285000000000004,30.285000000000004
510,0.0,0.0,0.0,31.8
511,11.825,11.825,11.825,11.825
512,6.67,6.67,6.67,6.67
513,42.89,42.89,42.89,36.945
514,17.055,17.055,17.055,17.055
515,7.85,7.85,7.85,7.85
516,13.4,13.4,13.4,13.4
517,36.04,36.04,36.04,36.04
518,0.0,0.0,41.67,41.67
519,24.18,24.18,24.18,24.18
520,16.03,16.03,16.03,16.03
521,9.52,9.2,9.2,9.2
522,14.41,14.41,14.41,14.41
523,19.77,19.77,19.77,19.77
524,25.595,25.595,25.595,25.595
525,16.99,16.99,16.99,16.99
526,0.0,0.0,27.59,27.59
527,23.81,23.81,23.81,23.81
528,33.3,33.3,33.3,33.3
529,17.930000000000003,17.930000000000003,17.930000000000003,17.930000000000003
530,0.0,0.0,0.0,16.59
531,23.81,23.81,23.81,23.81
532,21.42,21.42,21.42,21.42
533,20.1,20.1,13.64,13.64
534,15.86,15.86,15.86,15.86
535,13.81,13.81,13.81,13.81
536,40.45,40.45,40.45,40.45
537,16.810000000000002,16.810000000000002,16.810000000000002,16.810000000000002
538,0.0,0.0,0.0,14.45
539,19.11,19.11,19.11,19.11
540,38.94,38.94,38.94,38.94
541,0.0,22.0,22.0,22.0
542,0.0,0.0,13.47,13.47
543,18.09,18.09,16.3,16.3
