"","id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
26,2087,0.43644273351798824,0.15751374632328652,0.09721510077413609,0.45658263305322133
27,764,0.4286653208769541,0.38709677046825786,0.32025020168781726,0.4789915966386554
28,3592,0.44637966918611016,0.41935483867963563,0.3319064326450438,0.44817927170868344
29,3871,0.38176611426693585,0.38709677425363154,0.3202502016890082,0.4145658263305322
30,3487,0.4373816565732438,0.4181264987395654,0.33181779414325674,0.4369747899159664
31,1493,0.4464579127740481,0.1693548312590647,0.09936227470698578,0.4509803921568627
32,374,0.397665211335931,0.38709677407715415,0.3202502016889973,0.4229691876750701
33,1730,0.32280174639688275,0.3869747038810448,0.32024631780605894,0.3445378151260504
34,2379,0.3973991831369419,0.41834653577496905,0.3318278930993449,0.40896358543417366
35,2925,0.428055020891038,0.29435483867966383,0.24635821777629507,0.41736694677871145
36,1628,0.3565247327981472,0.38709295204206395,0.32025017551637824,0.3697478991596639
37,866,0.28731045490822027,0.3870967667393296,0.32025020168577567,0.31932773109243695
38,1338,0.24579440714833423,0.1252479631330169,0.0855587985298426,0.2773109243697479
39,1979,0.4251913055725083,0.41834683566254327,0.3318278936439586,0.4649859943977591
40,346,0.2866845062047165,0.38685262611785376,0.32023964419733886,0.3137254901960784
41,1909,0.27486972442608326,0.2620967741862723,0.23470198682025645,0.30532212885154064
42,2099,0.4137520930159774,0.41894651615204503,0.3318913681417157,0.40336134453781514
43,3760,0.40408118554684447,0.2941105490129443,0.24634766008766273,0.4005602240896359
44,5270,0.28734175234339543,0.25904503491737074,0.23419969349342118,0.2913165266106442
45,2926,0.21382935196550534,0.2580645086711755,0.23412165724950706,0.2640449438202247
46,1699,0.3928964844364712,0.3792842704683149,0.31868333147670547,0.4185393258426966
47,3909,0.20489094514210182,0.25806451612903203,0.23412165725273681,0.2528089887640449
48,1731,0.439697227205489,0.2943546002837938,0.24635821729698693,0.4550561797752809
49,11265,0.3258269599974821,0.38294637989964664,0.3196632248617314,0.3258426966292135
50,2519,0.3041104082082271,0.2578204909917865,0.23411109993858636,0.3426966292134831
51,1481,0.36526295911623075,0.012096535774770212,0.002157828406117779,0.3904494382022472
52,10364,0.2852893966575394,0.2580645086785083,0.23412165724950718,0.3174157303370787
53,4034,0.40260598621471055,0.3225844598583283,0.2658066042182584,0.4044943820224719
54,401,0.3067069524438989,0.2581904049841449,0.23412556730627665,0.3202247191011236
55,2330,0.3730840650867089,0.3870967739606038,0.32025020168898366,0.401685393258427
56,1806,0.36173795360840966,0.008068450155786389,0.0015775256636406665,0.398876404494382
57,3834,0.2565857803795676,0.2581903975298091,0.234125567303047,0.2752808988764045
