"id","churn"
"119",0.9722222222
"120",0.75
"121",0.9722222222
"122",0.9722222222
"123",0.9722222222
"124",0.5555555556
"125",0.3611111111
"126",0.8333333333
"127",0.9722222222
"128",0.8611111111
"129",0.9722222222
"130",0.4166666667
"131",0.9722222222
"132",0.4722222222
"133",0.6944444444
"134",0.75
"135",0.9722222222
"136",0.8333333333
"137",0.9722222222
"138",0.9722222222
"139",0.9722222222
"140",0.9166666667
"141",0.25
"142",0.7222222222
"143",0.9722222222
"144",0.9722222222
"145",0.1666666667
"146",0.9722222222
"147",0.5
"148",0.5555555556
"149",0.9722222222
"150",0.9722222222
"151",0.9722222222
"152",0.6666666667
"153",0.9722222222
"154",0.4166666667
"155",0.9722222222
"156",0.9722222222
"157",0.9722222222
"158",0.9722222222
"159",0.9722222222
"160",0.9722222222
"161",0.2222222222
"162",0.9722222222
"163",0.9722222222
"164",0.3333333333
"165",0.5555555556
"166",0.25
"167",0.5833333333
"168",0.9722222222
"169",0.9722222222
"170",0.8055555556
"171",0.9722222222
"172",0.9722222222
"173",0.7777777778
"174",0.9722222222
"175",0.9722222222
"176",0.9722222222
"177",0.1944444444
"178",0.9722222222
"179",0.5833333333
"180",0.8611111111
"181",0.9722222222
"182",0.4722222222
"183",0.9722222222
"184",0.75
"185",0.5
"186",0.8611111111
"187",0.9722222222
"188",0.9722222222
"189",0.9722222222
"190",0.9722222222
"191",0.9722222222
"192",0.7222222222
"193",0.9722222222
"194",0.9722222222
"195",0.6666666667
"196",0.9722222222
"197",0.9166666667
"198",0.9722222222
"199",0.9722222222
"200",0.9722222222
"201",0.3888888889
"202",0.9722222222
"203",0.8333333333
"204",0.9722222222
"205",0.7777777778
"206",0.9722222222
"207",0.7777777778
"208",0.7777777778
"209",0.9166666667
"210",0.7777777778
"211",0.9722222222
"212",0.9722222222
"213",0.9722222222
"214",0.6944444444
"215",0.9722222222
"216",0.9722222222
"217",0.5833333333
"218",0.9722222222
"219",0.9166666667
"220",0.9722222222
"221",0.9722222222
"222",0.8333333333
"223",0.9722222222
"224",0.9722222222
"225",0.8055555556
"226",0.4166666667
"227",0.8055555556
"228",0.5555555556
"229",0.4444444444
"230",0.8888888889
"231",0.9722222222
"232",0.9722222222
"233",0.9722222222
"234",0.9722222222
"235",0.9722222222
"236",0.9722222222
"237",0.9722222222
"238",0.7222222222
"239",0.9722222222
"240",0.9722222222
"241",0.5
